Kepler ID KOI Dur(h) Depth(ppm) SNR t0  t0_uncer  Period(days)  e_Period(days)  a/R*  e_a/R*  r/R*  e_r/R*  b e_b Rad(Earth) a(AU)  Teq(K) EBprob  Vet Fop Note  f_KOI 
8395660 116.02  6.706 601 44  84.934  4.4e-3  43.844800 1.3e-3  54.100  0.840 0.023 3.3e-4  0.021 2.5e-2  4.8 0.260 715 7.9e-5  2 1   
10875245  117.01  6.128 397 68  71.775  3.0e-3  14.749420 2.5e-4  8.800 3.000 0.022 1.2e-3  0.890 3.2e-1  2.4 0.120 729 4.4e-5  2 1,2,3   
10875245  117.02  4.085 117 29  71.610  5.2e-3  4.901340  1.5e-4  5.000 13.000  0.012 5.2e-3  0.870 9.8e-1  1.3 0.058 1048  6.1e-5  3 1,2 1 
10875245  117.03  3.349 113 33  66.511  3.9e-3  3.179850  5.2e-5  3.900 9.800 0.012 4.8e-3  0.800 1.0e+0  1.3 0.043 1217  5.8e-5  3 1,2 1 
10875245  117.04  4.167 43  9 70.838  1.4e-2  7.957200  5.1e-4  11.116  0.001 0.006 0.0e+0  0.659 0.0e+0  0.7 0.080 892 0.0e+0  4     
3531558 118.01  5.717 259 36  71.680  4.4e-3  24.993480 6.0e-4  17.000  22.000  0.017 3.6e-3  0.860 6.8e-1  1.8 0.170 590 3.0e-5  2 2   
9471974 119.01  11.296  1579  144 74.912  1.6e-3  49.183810 4.4e-4  34.449  0.000 0.035 1.8e-2  0.001 0.0e+0  3.9 0.264 462 2.3e-5  3 1 1 
8349582 122.01  3.926 509 89  64.971  1.3e-3  11.522904 6.2e-5  22.890  0.210 0.020 1.6e-4  0.004 0.0e+0  1.9 0.101 716 1.3e-5  2 1,2,3   
5094751 123.01  3.630 293 66  55.977  1.7e-3  6.481654  4.7e-5  11.000  14.000  0.017 3.9e-3  0.600 1.1e+0  2.3 0.071 1091  3.6e-5  2 1,2,3,4   
5094751 123.02  6.451 365 65  70.576  2.4e-3  21.222220 2.3e-4  19.000  25.000  0.018 4.2e-3  0.700 1.0e+0  2.5 0.155 739 3.4e-5  2 1,4   
11086270  124.01  3.868 223 32  70.123  3.9e-3  12.691160 2.9e-4  14.000  32.000  0.016 5.7e-3  0.850 9.5e-1  2.3 0.111 926 2.5e-5  2 1,2   
11086270  124.02  5.054 352 39  75.822  3.8e-3  31.719540 7.1e-4  28.000  46.000  0.020 5.0e-3  0.840 8.4e-1  2.8 0.205 681 2.2e-5  2 1   
8359498 127.01  2.907 11637 1078  67.030  1.0e-4  3.578778  2.0e-6  10.330  0.010 0.097 7.0e-5  0.004 0.0e+0  9.7 0.046 1098  1.4e-5  2 1,2   
11359879  128.01  3.502 11241 1191  69.329  2.4e-4  4.942781  2.0e-6  12.110  0.930 0.101 5.2e-4  0.580 1.6e-1  15.7  0.059 1240  1.1e-5  2 1   
7778437 131.01  4.674 6925  458 66.176  7.1e-4  5.014177  2.1e-5  8.885 0.017 0.075 1.2e-4  0.001 0.0e+0  9.0 0.060 1181  0.0e+0  3   1 
9818381 135.01  2.784 7916  766 65.415  1.4e-4  3.024102  1.7e-6  8.999 0.000 0.080 7.4e-3  0.009 0.0e+0  8.3 0.042 1250  9.3e-6  2 1 1 
8644288 137.01  3.544 2354  155 68.406  7.8e-4  7.641577  2.3e-5  17.820  0.110 0.043 2.2e-4  0.027 2.0e-2  6.0 0.077 949 6.2e-5  2 1,2,3,4   
8644288 137.02  3.777 3279  297 61.152  4.5e-4  14.859006 2.5e-5  19.300  2.100 0.062 1.3e-3  0.840 2.1e-1  8.6 0.120 760 4.8e-5  2 1,4   
8644288 137.03  2.076 269 38  66.507  2.2e-3  3.504720  2.9e-5  8.000 26.000  0.017 9.3e-3  0.800 1.3e+0  2.3 0.046 1228  0.0e+0  4     
8506766 138.01  6.110 7085  245 73.765  1.9e-3  48.938070 5.8e-4  37.000  11.000  0.094 5.7e-4  0.820 2.5e-1  16.6  0.282 716 0.0e+0  2     
8559644 139.01  10.726  3542  102 75.088  2.8e-3  224.793700  3.2e-3  126.000 22.000  0.058 2.2e-3  0.670 3.7e-1  5.7 0.741 288 1.9e-5  2 1   
8559644 139.02  2.676 116 13  74.354  6.6e-3  3.341800  1.2e-4  7.000 36.000  0.012 1.1e-2  0.700 2.0e+0  1.2 0.045 1169  4.4e-5  2 1   
12105051  141.01  1.441 2421  167 65.305  5.5e-4  2.624219  1.1e-5  10.700  8.400 0.049 7.7e-3  0.730 7.2e-1  4.3 0.037 1090  1.5e-5  2 1,2   
5446285 142.01  3.735 1188  105 66.024  1.3e-3  10.914785 7.6e-5  23.000  6.900 0.031 3.0e-4  0.000 0.0e+0  2.5 0.095 661 2.9e-5  2 1,3   
4180280 144.01  3.704 1396  166 66.089  8.4e-4  4.176263  2.0e-5  7.900 4.700 0.035 4.7e-3  0.530 7.8e-1  6.6 0.053 1198  7.5e-5  2 1 1 
5735762 148.01  2.694 453 54  57.063  2.1e-3  4.777978  5.3e-5  9.000 16.000  0.022 7.6e-3  0.800 1.0e+0  2.1 0.054 908 1.5e-4  2 1,2,3   
5735762 148.02  3.278 960 107 58.343  1.3e-3  9.673740  6.8e-5  16.000  16.000  0.030 6.0e-3  0.720 8.2e-1  3.0 0.087 716 1.1e-4  2 1   
5735762 148.03  5.628 519 37  79.065  3.7e-3  42.895540 7.0e-4  53.000  16.000  0.021 4.1e-4  0.216 6.5e-2  2.0 0.235 435 1.3e-4  2 1   
3835670 149.01  7.860 961 114 78.090  1.7e-3  14.557920 1.5e-4  14.722  0.083 0.028 1.6e-4  0.001 0.0e+0  4.1 0.122 890 2.9e-5  2 1   
7626506 150.01  3.559 783 75  67.005  1.6e-3  8.408848  7.6e-5  18.630  0.210 0.026 2.4e-4  0.006 0.0e+0  3.4 0.083 939 6.7e-5  2 1   
7626506 150.02  5.071 796 53  76.834  3.0e-3  28.573780 5.0e-4  33.000  55.000  0.028 8.1e-3  0.700 1.1e+0  3.7 0.187 625 6.5e-5  2 1   
2307199 151.01  2.661 1302  58  65.828  1.7e-3  13.447390 1.3e-4  22.500  6.800 0.038 6.2e-4  0.740 2.2e-1  4.6 0.114 823 5.9e-5  3 2 1 
8394721 152.01  8.589 2845  118 91.744  1.9e-3  52.091190 6.3e-4  48.520  0.270 0.048 2.6e-4  0.000 0.0e+0  4.9 0.282 497 5.6e-5  2     
8394721 152.02  6.788 753 39  66.619  5.9e-3  27.404150 8.9e-4  31.740  0.670 0.025 5.1e-4  0.024 3.2e-2  2.5 0.184 616 9.1e-5  2     
